2022-02-17
7782   2021-11-15   inurl:adm/login.jsp.bak   Md Anzaruddin   Vulnerable Servers   These searches reveal servers with specific vulnerabilities. These are found in a different way than the searches found in the &quot;Vulnerable Files&quot; section.
7797   2021-11-15   inurl:*gov intitle:"index of/documents"   Vrushabh Kadam   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7783   2021-11-15   intitle:"index of" "*.pl"   Priyanshu Choudhary   Vulnerable Files   HUNDREDS of vulnerable files that Google can find on websites.
7781   2021-11-15   intitle:"index of" "/products"   Priyanshu Choudhary   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7810   2021-11-15   site:.edu intext:"index of" "payroll"   Anirudh Kumar Kushwaha   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7796   2021-11-15   inurl:pastebin "SHODAN_API_KEY"   Vrushabh Kadam   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7786   2021-11-15   intitle:"index of" "*.php"   Priyanshu Choudhary   Vulnerable Files   HUNDREDS of vulnerable files that Google can find on websites.
7812   2021-11-15   site:*.se intitle:"index of"   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7815   2021-11-15   intitle:"index of" "apache.log" | "apache.logs"   Pauras Patil   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7808   2021-11-15   site:controlc.com intext:"password"   Anirudh Kumar Kushwaha   Files Containing Passwords   PASSWORDS!!! Google found PASSWORDS!
7813   2021-11-15   site:*.id intitle:"index of" "screenshot*.jpg"   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7814   2021-11-15   intitle:"index of" "*.vcf"   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7784   2021-11-15   intitle:"index of" "*.phtml"   Priyanshu Choudhary   Vulnerable Files   HUNDREDS of vulnerable files that Google can find on websites.
7788   2021-11-15   inurl:EMSWebClient/   Soriful Islam Shoaib   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7791   2021-11-15   inurl admin login php gov.in   Arindam Saha   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7795   2021-11-15   inurl:*gov intitle:"index of" "docker-compose"   Vrushabh Kadam   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7806   2021-11-15   inurl *:8443/login.jsp   Vivek Pancholi   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7792   2021-11-15   site:*.edu.in intitle:index of   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7803   2021-11-15   inurl:gov.in & inurl:admin   Amit Adhikari   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7789   2021-11-15   intitle:"index of" "/mysql"   Priyanshu Choudhary   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7802   2021-11-15   intitle:"index of" "admin.js"   Sabyasachi Paul   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7794   2021-11-15   site:*.gov.au inurl:wp-admin   Haox Hapot   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7807   2021-11-15   allintext"account number"   Smita Dhanokar   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7804   2021-11-15   site:pastebin.com "admin password"   Saumyajeet Das   Files Containing Passwords   PASSWORDS!!! Google found PASSWORDS!
7780   2021-11-12   intitle:"index of "/key/" "key.txt"   Reza Abasi   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7778   2021-11-12   site:drive.google.com "*.pdf"   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7779   2021-11-12   intitle:"Login" intext:"camera"   Naveen Venugopal   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7767   2021-11-11   site:.nic.in inurl:.php?id=   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7763   2021-11-11   intitle.index of API*.txt   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7775   2021-11-11   intitle:"index of" "/public_html"   Priyanshu Choudhary   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7765   2021-11-11   intitle:"index of" "*.mp4"   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7770   2021-11-11   intitle:"index of" site:gov.ru   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7758   2021-11-11   inurl:linkedin.com "view my resume" facebook   Smita Dhanokar   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7773   2021-11-11   inurl:forgotpassword.php   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7762   2021-11-11   intitle.index of .exe   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7771   2021-11-11   intitle:"index of" site:gov.gr   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7764   2021-11-11   intitle:"index of" site:gov.np   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7772   2021-11-11   site:.in | .com | .net intitle:"index of" ftp   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7776   2021-11-11   inurl:node_modules/ua-parser-js   Javier Bernardo   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7774   2021-11-11   intitle:"index of" site:gov.*   Reza Abasi   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7777   2021-11-11   intitle:"index of" "/public/js"   Priyanshu Choudhary   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7769   2021-11-11   site:*/admin-portal/   Hognaglo komi Sergio   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7768   2021-11-11   inurl:.org intitle index.of "inflation"   Hardik Jain   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7761   2021-11-11   intitle:"index of" "sysinfo"   Hognaglo komi Sergio   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7760   2021-11-11   inurl:*gov intitle:"index of" "docker-compose"   Leonardo Venegas   Vulnerable Files   HUNDREDS of vulnerable files that Google can find on websites.
7759   2021-11-11   intitle.index of .log   Arzan Batliwala   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7766   2021-11-11   intitle:"index of" "admin*.txt"   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7740   2021-11-10   intitle:"index of" " index.php.bak "   Muhammad Al-Amin   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7739   2021-11-10   intitle:"index of" " webdriver "   Muhammad Al-Amin   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7732   2021-11-10   inurl:pastebin "CVV"   Ritika Keni   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7734   2021-11-10   intitle:"index of" "default.asp "   Muhammad Al-Amin   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7737   2021-11-10   intitle:"index of" " htsearch "   Muhammad Al-Amin   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7726   2021-11-10   inurl:*gov intitle:"index of/documents"   Resham Kumar Chaudhary   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7724   2021-11-10   intitle:"Index of" site:.in   Krishna Agarwal   Vulnerable Files   HUNDREDS of vulnerable files that Google can find on websites.
7729   2021-11-10   site:com "rfp" filetype:pdf   Satish Kumar Singh   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7743   2021-11-10   intitle:"index of" " mod_auth_mysql "   Muhammad Al-Amin   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7754   2021-11-10   inurl:pastebin "Windows 10 Product Keys*"   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7741   2021-11-10   intitle:"index of" " sendmail.inc "   Muhammad Al-Amin   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7748   2021-11-10   intitle:"index of" "dvwssr.dll "   Muhammad Al-Amin   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7725   2021-11-10   inurl:pastebin "SHODAN_API_KEY"   Nithissh S   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7750   2021-11-10   intitle:"index of" upload.asp "   Muhammad Al-Amin   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7744   2021-11-10   intitle:"index of" "test.bat "   Muhammad Al-Amin   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7742   2021-11-10   intitle:"index of" " login.jsp "   Muhammad Al-Amin   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7738   2021-11-10   intitle:"index of" " glimpse "   Muhammad Al-Amin   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
